#      Train        Test
       0.115         0.15 
       0.118         0.15 
       0.119         0.16 
       0.117         0.16 
       0.117         0.15 
       0.117         0.16 
       0.133         0.23 
       0.291         0.35 
       0.387         0.45 
       0.439         0.42 
       0.492         0.48 
       0.568         0.57 
       0.571         0.53 
       0.657         0.59 
       0.684          0.6 
       0.755         0.57 
       0.795         0.47 
         0.7         0.55 
       0.711         0.55 
       0.752         0.57 
       0.842         0.61 
       0.887         0.61 
       0.899         0.61 
       0.911         0.63 
       0.867         0.55 
       0.748         0.56 
       0.853         0.64 
       0.911         0.66 
       0.943         0.63 
       0.937         0.68 
       0.945         0.67 
       0.953          0.6 
        0.96          0.6 
       0.958         0.63 
       0.963         0.68 
       0.965         0.65 
       0.963         0.58 
       0.969         0.48 
       0.881          0.6 
       0.959         0.66 
       0.981         0.56 
        0.97          0.6 
       0.974         0.65 
       0.982         0.59 
       0.983         0.68 
       0.985         0.66 
       0.986         0.64 
        0.99         0.62 
       0.989         0.63 
       0.984         0.63 
       0.988          0.6 
       0.988         0.62 
        0.99         0.65 
        0.99         0.66 
       0.991         0.65 
       0.993         0.62 
       0.992         0.62 
       0.994         0.63 
       0.993         0.64 
       0.993         0.62 
       0.992         0.63 
       0.994         0.63 
       0.994         0.64 
       0.993         0.67 
       0.994         0.62 
       0.994         0.63 
       0.994         0.65 
       0.995          0.6 
       0.994         0.63 
       0.994         0.61 
       0.994         0.65 
       0.994         0.63 
       0.994         0.62 
       0.995         0.64 
       0.995          0.6 
       0.998         0.58 
       0.993         0.58 
       0.993         0.62 
       0.989         0.64 
       0.997         0.65 
       0.997          0.6 
       0.996         0.59 
       0.995         0.62 
       0.996         0.62 
       0.998         0.64 
        0.99         0.63 
       0.981         0.55 
        0.98         0.55 
       0.909         0.67 
       0.994         0.65 
       0.979         0.57 
       0.927         0.62 
       0.985         0.59 
       0.998          0.6 
       0.996         0.65 
       0.998         0.65 
       0.999         0.62 
       0.998         0.62 
       0.999         0.65 
       0.998         0.65 
