#      Train        Test
     23.9731      6.86945 
     6.91836      7.06313 
     6.89729      6.94938 
     6.83721      6.72113 
     6.78343      6.68217 
      6.7675      6.71073 
     6.45465      4.53863 
     4.05866      3.74767 
      3.7588      3.92795 
     3.69743      3.63693 
     3.39521      3.72968 
     3.17865      3.48465 
     3.05324      3.30563 
     2.60636      2.74598 
      2.5336       2.9191 
     2.19039      3.16275 
      1.9474      11.2249 
     2.64809      3.39803 
     2.46854      3.46647 
     2.15693       2.7927 
     1.65516      2.57403 
     1.38874       2.8884 
     1.29716      2.78332 
     1.14447      2.70307 
     1.44816      3.50522 
     2.13108      3.03648 
     1.50356       2.5248 
     1.16892      2.52748 
    0.944005       2.7922 
    0.929268      2.54648 
    0.857217      2.41855 
    0.773687      2.76892 
    0.757405      3.24838 
     0.75742      3.23325 
    0.689805      2.61782 
    0.632342      2.73473 
    0.665887       3.0594 
    0.598755      3.65068 
      1.0943      3.10808 
    0.611123      2.74478 
    0.508498      3.19455 
    0.538742       2.7017 
    0.472133       2.6277 
    0.424827      2.73258 
    0.378568      2.63497 
     0.36794      2.66097 
    0.334478      2.54525 
      0.3133      2.69595 
    0.311075      2.59332 
    0.375275      2.71842 
    0.303912      2.81217 
     0.36245      2.64383 
    0.320297      2.62502 
    0.297688      2.61533 
    0.264552      2.69008 
    0.250603      2.75528 
    0.252622      2.66168 
     0.22889      2.75838 
    0.290537      2.83898 
    0.274773      2.65282 
    0.275605      2.74082 
    0.248775      2.73825 
    0.241952      2.76053 
    0.245227       2.7418 
    0.228522       2.7881 
    0.201753       2.7791 
    0.205818        2.782 
    0.183343      2.76863 
    0.175777      2.75032 
    0.170595      2.73622 
    0.162148      2.68738 
    0.157728      2.68172 
    0.152148      2.77742 
    0.243187      2.54495 
    0.219078       2.6568 
    0.193073      2.75355 
     0.32257      2.73668 
    0.269568      2.82448 
      0.2582      2.68205 
     0.20991      2.65255 
    0.192675      2.78503 
    0.172817      2.78812 
     0.18342      2.75743 
    0.280872       2.9477 
    0.223037       2.5608 
    0.302668      2.76225 
    0.504803      2.89633 
    0.502442      2.86237 
    0.866418      2.58425 
    0.347515      2.80593 
    0.358327       2.9204 
     0.78628       2.9919 
     0.47067      2.98743 
    0.342482      3.45255 
     0.34928      2.76313 
    0.275067      2.75033 
    0.229732      2.71593 
    0.190972       2.7084 
    0.177787       2.7279 
    0.168553      2.76917 
