#      Train        Test
    0.539783       0.7155 
     0.73125       0.7597 
    0.774917       0.7964 
    0.795217       0.8132 
    0.814117       0.8258 
    0.825633        0.827 
    0.835117       0.8431 
    0.845533         0.85 
    0.852083       0.8581 
    0.858633       0.8663 
    0.866783       0.8672 
     0.87155       0.8748 
    0.876267       0.8763 
    0.881233       0.8763 
    0.884867        0.887 
     0.88945       0.8853 
      0.8927       0.8917 
      0.8952       0.8961 
    0.899983        0.902 
     0.90355        0.905 
      0.9077       0.9055 
    0.911583       0.9136 
    0.915583       0.9138 
     0.91745       0.9165 
    0.920817       0.9174 
    0.925467       0.9247 
     0.92685       0.9238 
    0.929733       0.9291 
    0.932067       0.9316 
    0.937283       0.9341 
    0.938683       0.9332 
    0.941633       0.9447 
     0.94545       0.9435 
     0.94755       0.9458 
      0.9502       0.9462 
    0.951267       0.9496 
    0.953517       0.9542 
    0.953783       0.9525 
      0.9573       0.9509 
    0.958417        0.954 
    0.958433        0.955 
    0.960417        0.955 
     0.95945       0.9554 
    0.961633       0.9553 
    0.962067       0.9588 
      0.9629       0.9571 
    0.964267       0.9593 
    0.963283       0.9597 
    0.965517       0.9602 
    0.965083       0.9595 
      0.9667       0.9621 
     0.96625       0.9624 
    0.966367       0.9637 
    0.967767       0.9647 
       0.969       0.9643 
    0.968433       0.9642 
    0.968667       0.9666 
    0.969183       0.9667 
    0.969767       0.9635 
     0.97015       0.9633 
      0.9709        0.964 
    0.970933       0.9649 
      0.9715       0.9696 
    0.971633       0.9692 
      0.9728       0.9658 
    0.972667        0.969 
     0.97315       0.9684 
     0.97265       0.9683 
    0.972417       0.9679 
    0.973967       0.9692 
      0.9744       0.9707 
    0.973883       0.9696 
    0.974617       0.9687 
    0.974517       0.9705 
     0.97475       0.9721 
    0.975467       0.9695 
      0.9736       0.9724 
    0.975233       0.9706 
     0.97735       0.9698 
     0.97605       0.9711 
     0.97565       0.9722 
    0.975883       0.9733 
    0.976617       0.9735 
      0.9763       0.9723 
    0.976017       0.9729 
      0.9775       0.9727 
    0.977033       0.9703 
    0.978517       0.9711 
    0.977317       0.9727 
    0.977067        0.973 
     0.97735       0.9733 
    0.978867       0.9702 
    0.978133       0.9715 
      0.9786       0.9737 
     0.97825       0.9757 
    0.978883       0.9711 
    0.979133       0.9742 
      0.9783       0.9739 
    0.979583       0.9727 
     0.97905       0.9731 
     0.97865        0.974 
    0.979267       0.9738 
      0.9804       0.9718 
    0.979367       0.9743 
    0.980483       0.9752 
    0.979817        0.974 
    0.980633        0.972 
    0.979633        0.974 
     0.98015       0.9735 
    0.980383       0.9746 
      0.9804       0.9722 
    0.980833       0.9746 
    0.981567       0.9738 
    0.980833       0.9733 
    0.980567       0.9741 
    0.980967       0.9748 
     0.98165       0.9776 
    0.981183       0.9766 
    0.981033       0.9755 
    0.980667       0.9744 
    0.981733        0.977 
    0.981133       0.9752 
    0.981417       0.9753 
      0.9811       0.9742 
    0.982067       0.9761 
    0.981167       0.9776 
     0.98185       0.9748 
    0.981983       0.9752 
    0.982667       0.9772 
      0.9819       0.9744 
    0.982767       0.9754 
