#      Train        Test
     3.61436      2.56821 
     2.35046      2.15625 
     2.02361      1.90917 
     1.84732      1.75413 
     1.70885      1.65749 
     1.61334      1.57807 
     1.53381      1.49216 
     1.46549      1.43297 
     1.41476      1.38876 
     1.36764      1.34965 
     1.32354      1.32987 
     1.28467       1.2772 
     1.24988      1.27472 
     1.21953      1.24546 
     1.19035      1.19121 
     1.16854      1.18824 
     1.14133      1.15937 
     1.11625      1.12336 
     1.09186      1.10057 
     1.06343      1.07058 
     1.03756      1.04921 
     1.01071     0.995335 
    0.975346     0.996404 
    0.953019     0.977409 
     0.92167     0.936239 
    0.895466     0.921493 
    0.873613     0.896931 
    0.843678     0.849545 
    0.822088     0.819201 
    0.793066     0.806057 
    0.770538     0.796272 
    0.743242     0.730861 
     0.71509     0.730499 
    0.694264     0.701036 
     0.66696     0.679015 
    0.649043     0.668688 
    0.632227     0.638573 
     0.62008     0.633685 
    0.602224     0.642683 
    0.595205     0.622889 
    0.590931     0.612641 
    0.586201     0.615085 
    0.586612      0.61975 
    0.577194     0.605923 
    0.574238      0.60515 
    0.563985     0.599353 
    0.561394     0.602838 
    0.557795     0.603773 
    0.554168     0.588576 
    0.548879     0.584268 
    0.540729     0.576469 
    0.538587     0.566775 
    0.533642     0.554772 
    0.528076     0.554177 
    0.522733     0.553169 
    0.520005     0.545972 
    0.516013     0.541586 
    0.511221     0.536175 
    0.507735     0.556039 
    0.504326     0.541527 
    0.495117       0.5462 
    0.492642     0.541391 
    0.489946     0.507713 
    0.484286     0.518127 
    0.480781     0.512222 
    0.476429     0.517892 
    0.476203     0.515165 
    0.473206     0.496118 
    0.470192     0.504895 
    0.460727     0.486326 
     0.45886     0.493208 
    0.456772     0.506342 
    0.453239     0.486877 
    0.450296     0.476717 
    0.447414     0.485895 
    0.443608     0.480131 
    0.444962     0.478535 
    0.438023     0.475262 
    0.434205     0.466176 
    0.435987     0.469488 
    0.434656     0.476055 
    0.433618     0.465169 
    0.428587     0.451645 
     0.42678     0.461585 
    0.422416     0.449737 
    0.418796     0.455202 
     0.41806     0.458606 
    0.414814     0.454952 
    0.412504     0.457243 
    0.411951     0.445172 
     0.40923     0.446491 
    0.409167     0.449103 
    0.406707     0.446651 
    0.403253     0.449623 
    0.403297     0.433796 
    0.398791     0.440017 
    0.399536     0.441161 
    0.400463     0.435877 
    0.397106     0.432195 
    0.392485     0.440677 
    0.392744     0.429387 
    0.392418     0.441358 
     0.38756      0.44524 
    0.388654     0.429897 
     0.38532     0.422985 
    0.386146     0.437811 
    0.380377     0.431372 
    0.381205     0.426157 
    0.383883     0.435857 
    0.379808      0.41939 
    0.379773       0.4318 
    0.377252      0.42544 
    0.376195     0.427491 
    0.374963     0.424943 
    0.375259     0.424398 
    0.374332     0.417233 
    0.369837     0.404854 
    0.371279     0.408507 
       0.371     0.412588 
    0.367915     0.414084 
    0.368453     0.408614 
     0.36609     0.399639 
    0.366037     0.415382 
    0.365488     0.409761 
    0.362665     0.406382 
    0.360193     0.399222 
    0.360553      0.40963 
    0.358193     0.395598 
    0.358065     0.409213 
    0.357349     0.396506 
    0.354832     0.401788 
