#      Train        Test
       0.726         0.73 
       0.898         0.87 
        0.95         0.92 
       0.969          0.9 
       0.981         0.89 
       0.988          0.9 
       0.993         0.95 
       0.996         0.93 
       0.997         0.95 
       0.999         0.94 
       0.999         0.97 
           1         0.97 
           1         0.95 
           1         0.97 
           1         0.96 
           1         0.95 
           1         0.94 
           1         0.93 
           1         0.93 
           1         0.96 
           1         0.94 
           1         0.93 
           1         0.94 
           1         0.94 
           1         0.94 
           1         0.92 
           1         0.92 
           1         0.94 
           1         0.94 
           1         0.96 
           1         0.93 
           1         0.93 
           1         0.93 
           1          0.9 
           1          0.9 
           1         0.91 
           1         0.91 
           1         0.92 
           1         0.93 
           1         0.91 
           1         0.93 
           1         0.93 
           1         0.92 
           1         0.93 
           1         0.93 
           1         0.93 
           1         0.94 
           1         0.96 
           1         0.95 
           1         0.95 
           1         0.93 
           1         0.93 
           1         0.92 
           1         0.92 
           1         0.89 
           1         0.91 
           1         0.91 
           1         0.91 
           1         0.91 
           1         0.93 
           1         0.93 
           1         0.93 
           1         0.94 
           1         0.95 
           1         0.93 
           1         0.94 
           1         0.93 
           1         0.93 
           1         0.91 
           1         0.91 
           1          0.9 
           1         0.89 
           1         0.89 
           1         0.91 
           1         0.91 
           1          0.9 
           1         0.91 
           1         0.91 
           1          0.9 
           1         0.93 
           1         0.93 
           1         0.92 
           1         0.92 
           1         0.91 
           1         0.91 
           1         0.91 
           1         0.91 
           1         0.91 
           1          0.9 
           1         0.91 
           1         0.91 
           1         0.89 
           1         0.88 
           1         0.89 
           1         0.88 
           1         0.89 
           1         0.91 
           1          0.9 
           1         0.92 
           1         0.91 
