#      Train        Test
     3.09689      2.44818 
       1.586       2.0191 
     1.14881      1.85458 
    0.901327      1.71782 
     0.70292      1.56595 
     0.54926      1.44287 
    0.463692      1.31555 
    0.429493      1.28855 
    0.399285       1.2509 
    0.351965      1.22717 
     0.30253       1.1218 
    0.268752      1.18208 
    0.246427      1.33778 
    0.224498       1.1765 
    0.200405      1.13568 
    0.198068      1.13755 
    0.174432      1.08338 
    0.161747      1.08925 
    0.145482      1.08735 
    0.145948      1.06915 
    0.139845       1.1083 
    0.132397      1.16568 
    0.119382      1.18888 
    0.111762       1.2043 
    0.112437      1.17115 
    0.110705      1.19458 
    0.110272      1.21493 
    0.116042      1.18425 
    0.118123      1.22497 
    0.118827      1.19645 
    0.114122      1.28092 
     0.11743      1.27078 
    0.108387       1.3302 
    0.117832      1.36235 
    0.114618      1.32698 
     0.11667       1.2488 
    0.118912      1.22057 
    0.129172      1.12783 
    0.121103      1.07062 
    0.113122      1.06282 
    0.106567      1.03107 
   0.0990167      1.01843 
   0.0975467      1.02628 
    0.100177      1.01348 
    0.097365      1.01808 
    0.093675      0.99985 
     0.09344      1.03042 
   0.0887817      1.04257 
   0.0892533      1.05245 
    0.084405      1.03908 
     0.08334      1.09893 
   0.0822117      1.06693 
   0.0790883      1.08862 
   0.0800967      1.10018 
   0.0773317      1.11298 
   0.0726867      1.12725 
   0.0741533      1.10322 
   0.0735617      1.09867 
   0.0721217      1.07622 
     0.07214      1.05375 
   0.0704133      1.06527 
   0.0680267       1.0647 
   0.0628817      1.07655 
   0.0613983      1.07308 
   0.0566333      1.07297 
   0.0546083      1.10813 
   0.0530667      1.10373 
    0.052495      1.08925 
   0.0552783      1.10217 
    0.054595      1.09483 
   0.0558667      1.12713 
   0.0545933       1.1299 
    0.056175      1.19148 
   0.0624867       1.1814 
    0.058575      1.22997 
   0.0613733       1.3027 
   0.0605483       1.4013 
   0.0619633      1.37623 
     0.06495      1.38305 
    0.065255      1.33997 
    0.070365      1.34348 
   0.0725417      1.31415 
   0.0786867      1.28188 
   0.0831917       1.2209 
   0.0878217      1.18438 
   0.0907983      1.15407 
    0.100217      1.12668 
    0.108942      1.14613 
    0.123685      1.17108 
    0.145302      1.18963 
    0.168397      1.26043 
    0.197815      1.27978 
    0.200255      1.34563 
    0.194847       1.3128 
    0.174108      1.18873 
    0.161453      1.19283 
     0.13951      1.20113 
    0.118903      1.25155 
    0.101988      1.27345 
    0.091625      1.25272 
