#      Train        Test
     0.89865       0.9598 
    0.967717       0.9678 
    0.978967        0.971 
    0.985417       0.9735 
    0.988333       0.9766 
    0.991217       0.9789 
    0.993733       0.9789 
      0.9954        0.982 
    0.997017       0.9793 
      0.9976       0.9816 
      0.9983       0.9829 
      0.9988       0.9823 
      0.9991       0.9831 
    0.999183       0.9821 
      0.9995       0.9842 
    0.999583       0.9838 
      0.9996       0.9841 
     0.99955       0.9838 
    0.999617       0.9815 
    0.999617       0.9828 
    0.999783        0.983 
    0.999817       0.9835 
    0.999767       0.9828 
     0.99985       0.9835 
    0.999933       0.9834 
    0.999867       0.9825 
    0.999933       0.9832 
    0.999933       0.9834 
    0.999667       0.9826 
    0.999867       0.9832 
    0.999917       0.9833 
     0.99985       0.9839 
     0.99995       0.9831 
     0.99995       0.9832 
    0.999967       0.9835 
    0.999983       0.9835 
    0.999983       0.9835 
      0.9999       0.9806 
    0.999783       0.9831 
    0.999933       0.9835 
    0.999983       0.9836 
    0.999983       0.9836 
    0.999983       0.9831 
    0.999983       0.9838 
    0.999983       0.9836 
    0.999983       0.9838 
    0.999983       0.9832 
      0.9993         0.98 
    0.998433       0.9827 
    0.999117       0.9816 
      0.9987       0.9827 
      0.9994       0.9824 
    0.999467       0.9817 
      0.9997       0.9835 
    0.999933       0.9839 
    0.999967       0.9839 
    0.999817       0.9835 
    0.999833       0.9834 
    0.999983       0.9834 
    0.999983       0.9833 
    0.999983        0.983 
    0.999983       0.9832 
    0.999983       0.9829 
    0.999983       0.9834 
    0.999983       0.9838 
    0.999983       0.9837 
    0.999983       0.9833 
    0.999967       0.9821 
     0.99985       0.9831 
    0.999817       0.9822 
    0.999817       0.9847 
    0.999667       0.9841 
    0.999917        0.984 
    0.999783       0.9845 
     0.99985       0.9829 
     0.99975       0.9818 
    0.999817       0.9845 
    0.999333       0.9822 
     0.99905       0.9805 
    0.999417       0.9779 
    0.999317       0.9834 
      0.9996       0.9845 
    0.999933        0.983 
    0.999933       0.9834 
    0.999933       0.9836 
     0.99995       0.9836 
    0.999983        0.983 
    0.999933        0.983 
    0.999633       0.9833 
      0.9995       0.9829 
    0.999267       0.9807 
    0.998917        0.981 
     0.99905       0.9817 
      0.9998       0.9831 
      0.9996        0.983 
     0.99975       0.9835 
    0.999617       0.9839 
     0.99945       0.9841 
    0.999633       0.9826 
           1       0.9838 
