#      Train        Test
    0.954601     0.362604 
    0.282728     0.258843 
    0.188636     0.243885 
     0.13883     0.205797 
    0.112523     0.212165 
   0.0919102     0.204891 
   0.0705252     0.175717 
   0.0577581     0.143533 
   0.0433345     0.157981 
   0.0373434     0.138498 
    0.031477        0.136 
    0.025852     0.134395 
   0.0230067     0.131754 
   0.0218895     0.133557 
   0.0185674     0.129211 
   0.0176397     0.125588 
   0.0190667     0.125663 
   0.0307035     0.135136 
   0.0228446     0.145861 
   0.0224408     0.131348 
   0.0212992     0.128883 
   0.0203126     0.128766 
   0.0210006      0.13604 
   0.0207492     0.131168 
   0.0190819     0.124531 
   0.0180198     0.132724 
   0.0162676     0.129521 
   0.0156747     0.127639 
   0.0185464     0.130257 
    0.016222     0.126859 
   0.0152293     0.131036 
   0.0154561     0.125857 
    0.014116     0.127111 
   0.0140945     0.126524 
   0.0137912     0.128687 
   0.0144596     0.129381 
    0.015097     0.124943 
   0.0150092      0.15093 
    0.016738     0.124857 
   0.0140383     0.123897 
   0.0131375     0.129616 
   0.0131155     0.125892 
   0.0130237     0.128104 
   0.0128613     0.124169 
   0.0127235     0.123703 
   0.0131634     0.124705 
   0.0167151     0.126601 
   0.0260837     0.157509 
   0.0348924     0.134753 
   0.0233617     0.143744 
   0.0265201     0.131929 
   0.0187046     0.133824 
   0.0174529     0.138692 
   0.0162724     0.128184 
   0.0133199     0.124352 
   0.0131553     0.121476 
   0.0142449     0.123558 
   0.0143496     0.119198 
   0.0126926     0.121688 
   0.0129035      0.12722 
   0.0130229     0.124481 
   0.0135753     0.127673 
   0.0141191      0.13333 
   0.0141091     0.125828 
   0.0151256     0.129462 
   0.0169325      0.12998 
    0.025468     0.132487 
   0.0207456     0.136008 
   0.0205711     0.133918 
   0.0230142     0.141221 
   0.0226213     0.125774 
   0.0232647     0.128735 
    0.022146     0.135584 
    0.023384      0.13177 
   0.0214359     0.138247 
   0.0220198      0.13983 
   0.0224698     0.130258 
   0.0332771     0.148803 
   0.0413444      0.17081 
   0.0292338     0.174235 
   0.0245767     0.131367 
   0.0212906     0.131176 
   0.0149568     0.132914 
   0.0143783     0.126445 
    0.014994     0.131273 
   0.0152601     0.131744 
   0.0175978     0.142773 
   0.0225444        0.138 
   0.0232183     0.142279 
   0.0229693     0.135312 
    0.023944     0.160512 
    0.027212     0.150717 
   0.0241859     0.141481 
   0.0179439     0.131642 
   0.0194769      0.13137 
   0.0175241     0.129377 
   0.0183551     0.127265 
   0.0200074     0.125697 
   0.0189391     0.131361 
   0.0154969     0.123909 
